name,,source,comments
@AmericanInfidel7.62,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugz9wO3f4y5k1G1VTaV4AaABAg,Taco taco man. Ii want to be a Taco man.
@tapwater128,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugz6Hwlinp3yQTeI1ml4AaABAg,Oh my TACO
@taichi500,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwnDUq8zW85aQ8vCld4AaABAg,"Time for many other countries to get together, join BRICS and leave the US to its own delusional ends."
@braxtondamico3599,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyxCLWPOcGlpz2_m1F4AaABAg,"Why don’t countries simply stop trading with the YS, yeah you’ll struggle for a period but I’d rather struggle for a period than give in to an evil nation. Y’all can put your heads together and solve this."
@Jakeholden-nf9ow,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugxn4z3_hr5BVGPPOMd4AaABAg,These deals and letters sound like the 3 year limited tax break in the BBB.
@peterfisher-01,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzMy5wU359BlikOFnd4AaABAg,These tariffs ( a form of tax) are payable by US citizens not by the countries he announced.  Therefore he should announce to everyone in America that prices they pay are going up not down as he originally promised.
@Jakeholden-nf9ow,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugxn4z3_hr5BVGPPOMd4AaABAg,These deals and letters sound like the 3 year limited tax break in the BBB.
@peterfisher-01,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzMy5wU359BlikOFnd4AaABAg,These tariffs ( a form of tax) are payable by US citizens not by the countries he announced.  Therefore he should announce to everyone in America that prices they pay are going up not down as he originally promised.
@AbdulHaris-rb3hg,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzDwm3HgbPPNND3p1V4AaABAg,It's enough to have a poisonous mouth from Nyetanyahu and Trumpet to damage human rights .
@sabinewerner9980,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyNUNwPAs5ga3xeTEd4AaABAg,Das ist ja wie im Kindergarten
@Michael-c8b6v,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyX9DdjyrXhGoEyd6N4AaABAg,"Worst guy you voted in yet, stop getting youre political views for the Internet people"
@abcxyz-ss6uy,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugz9_RuLmQ0m8P_xJ3h4AaABAg,TACO please
@TheLOLWHATTTTTTT,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugymtw4GfLzz6kPjQUF4AaABAg,TACO TACO MANNNNN
@malefico0079,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwaF9XkCnPUXA5-jUx4AaABAg,"Every time Trunp announce this, my dollar go from 3.60 to 3.40. at this point my coin will had more value than the dollar"
@kevlivinginabox,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwtGi0hZSywcPI976h4AaABAg,TACO
@CosmicSpaceBaby,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwilJMIaDxspBUb7Zd4AaABAg,The American president speaks like a grade schooler. Such an embarrassment to what was once a progressive nation.
@_unknown_channel_,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyAjcz9oUCXF5Ek_O94AaABAg,The rate 25% is too low.
@mokaLARE,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugz2loHZMrVLDoIfpN94AaABAg,This guy is lost! Lol
@michaelsummerell8618,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugwx78OhATo7qgzgOMJ4AaABAg,Cluck cluck cluck....
@garyinmarz8938,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugy4f0GRHn1uy6yQVlN4AaABAg,Improvisation is called winging it day in day out. Remember that job they gave you at 16 but you were under qualified
@jjrrlovesreading,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugy3wR3ipxG88mAWHKF4AaABAg,"IF Taiwan still gets high tariff over 30% even TSMC announced investing in USA, I will not believe Trump anymore"
@richardkugler3900,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugz1wLUomLXGbyYWvR54AaABAg,"Whatever DonOld is doing,  he personally is making millions.  Its the republican way. And spreading fear and lies"
@drlizzardo4373,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugzr_LY9TPikZPkI-Mx4AaABAg,They are not TAXES on these countries .... You sound like any American reporting on Tariffs... is not the countries selling to the US that pay its the importers importing them into the US that get hit.. The US has overplayed their hand and the world are sick of America's BS
@dustinpoirier1827,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzF1502sg_7azEzcVd4AaABAg,beautiful letters?  조롱 그자체 ㅋㅋ
@ccccarriemchardy9216,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyQLPHMLOR9ooPodBN4AaABAg,Never heard a letter described as....beautiful!.
@MrMustangMan,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxqGaM6vF7rC5ksbst4AaABAg,
@heidimueller1039,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugy0U-vo84GZKAzSWAB4AaABAg&pp=0gcJCSMANpG00pGi,Is the world just supposed to put up with this madness for the next 3 and a half years? Can we all just do NO CONTACT!
@KPsTboy,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugx10kC0MSfuIwokj7J4AaABAg,I certainly hope we're done putting up with this selfcentered country's crap in 3.5 years. Meanwhile other countries hopefully learn not to rely on this hillbilly westworld any longer and pull out of relations.
@weiszeliang4399,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyG0Jeq20SFjermJVZ4AaABAg,Im late! But its TACO TACO man!!
@MichaelPhraze,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugz6nAP3khA142zsjCF4AaABAg,If BRICS reterlate America is roasted
@ge7714,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugwg_j3tf_jj6YjFeXB4AaABAg,It’s not a threat it’s a reciprocal tariff and tax that America has been getting for years amongst them not buying any American goods
@FlyWithMe_666,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzNx9PS4NAGR2ZVVR94AaABAg&pp=0gcJCSMANpG00pGi,what a freak show
@ordinarycitizen-v5n,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugx-ngGbmUC613TGhKR4AaABAg,"TACO Don. The best way to shut him up is to ignore him completely. How is increasing tariffs that the US people have to pay for such a thing. Ignore him completely. If American companies want what other countries manufacture, let the US eat the tariffs. TACO Don's 90 deals in 90 days is a bust at 0 deals in 90 days. Well done TACO Don."
@Howardg516,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyuM3mrBHcHeKtHFEB4AaABAg,"Trump economic policies  could certainly lead to significant economic consequences for the U.S, I’m really concerned about how the current economic crisis and rising inflation have really taken a toll on my portfolio. It's becoming quite worrisome, especially at my age."
@jeffreynicol8287,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzJiV6gyTS75b6PfrN4AaABAg,Thought Diaper Don had all the cards?
